"datetime","stripchart_stage","year","date","stream_height_ft","diff"
2018-05-14 09:00:00,NA,2018,2018-05-14,NA,NA
2018-05-14 09:50:00,0.111,2018,2018-05-14,0.111,0
2018-05-21 13:20:00,NA,2018,2018-05-21,NA,NA
2018-05-25 10:45:00,0.102,2018,2018-05-25,0.102,0
2018-05-29 12:00:00,0.07,2018,2018-05-29,0.07,0
2018-05-29 13:50:00,NA,2018,2018-05-29,NA,NA
2018-06-04 10:40:00,0.197,2018,2018-06-04,0.197,0
2018-06-12 10:50:00,0.14,2018,2018-06-12,0.14,0
2018-06-18 13:10:00,0.233,2018,2018-06-18,0.233,0
2018-06-25 10:30:00,0.057,2018,2018-06-25,0.057,0
2018-07-02 12:50:00,0.133,2018,2018-07-02,0.133,0
2018-07-03 14:00:00,0.352,2018,2018-07-03,0.352,0
2018-07-09 10:50:00,0.148,2018,2018-07-09,0.148,0
2018-07-09 11:05:00,NA,2018,2018-07-09,NA,NA
2018-07-16 09:40:00,0.039,2018,2018-07-16,0.039,0
2018-07-23 09:40:00,0.028,2018,2018-07-23,0.028,0
2018-07-23 10:05:00,NA,2018,2018-07-23,NA,NA
2018-10-02 10:00:00,0.041,2018,2018-10-02,0.041,0
2018-10-02 10:30:00,NA,2018,2018-10-02,NA,NA
2018-10-11 10:40:00,0.224,2018,2018-10-11,0.224,0
2018-10-15 10:45:00,0.125,2018,2018-10-15,0.125,0
2018-10-22 10:40:00,0.071,2018,2018-10-22,0.071,0
2018-10-29 12:50:00,0.179,2018,2018-10-29,0.179,0
2018-11-14 11:40:00,0.035,2018,2018-11-14,0.035,0
2018-11-19 10:10:00,0.03,2018,2018-11-19,0.03,0
2018-11-26 11:45:00,0.024,2018,2018-11-26,0.024,0
2018-12-03 12:10:00,NA,2018,2018-12-03,NA,NA
2019-03-14 13:30:00,0.053,2019,2019-03-14,0.053,0
2019-03-18 12:05:00,0.03,2019,2019-03-18,0.03,0
2019-03-25 12:15:00,0.007,2019,2019-03-25,0.007,0
2019-04-01 12:35:00,0.19,2019,2019-04-01,0.19,0
2019-04-08 12:40:00,NA,2019,2019-04-08,NA,NA
2019-04-15 09:05:00,0.28,2019,2019-04-15,0.28,0
2019-04-15 11:40:00,0.279,2019,2019-04-15,0.279,0
2019-04-22 08:35:00,0.29,2019,2019-04-22,0.29,0
2019-04-23 10:45:00,0.321,2019,2019-04-23,0.321,0
2019-04-29 12:25:00,0.19,2019,2019-04-29,0.19,0
2019-05-03 11:00:00,0.162,2019,2019-05-03,0.162,0
2019-05-07 11:35:00,0.116,2019,2019-05-07,0.116,0
2019-05-14 10:05:00,0.092,2019,2019-05-14,0.092,0
2019-05-20 10:50:00,0.106,2019,2019-05-20,0.106,0
2019-05-29 10:50:00,0.103,2019,2019-05-29,0.103,0
2019-06-03 10:40:00,0.044,2019,2019-06-03,0.044,0
2019-06-10 11:00:00,0.024,2019,2019-06-10,0.024,0
2019-07-02 10:45:00,0.098,2019,2019-07-02,0.098,0
2019-07-24 11:00:00,0.028,2019,2019-07-24,0.028,0
2019-09-16 12:00:00,0.123,2019,2019-09-16,0.123,0
2019-09-25 10:05:00,0.063,2019,2019-09-25,0.063,0
2019-10-02 10:30:00,0.144,2019,2019-10-02,0.144,0
2019-10-07 10:45:00,0.191,2019,2019-10-07,0.191,0
2019-10-16 13:00:00,0.11,2019,2019-10-16,0.11,0
2019-10-25 10:55:00,NA,2019,2019-10-25,NA,NA
2019-10-28 10:15:00,0.094,2019,2019-10-28,0.094,0
2019-11-04 11:25:00,0.051,2019,2019-11-04,0.051,0
2019-11-13 14:05:00,0.005,2019,2019-11-13,0.005,0
2019-11-18 11:45:00,NA,2019,2019-11-18,NA,NA
2019-11-26 11:35:00,0.018,2019,2019-11-26,0.018,0
2019-12-03 11:50:00,0.012,2019,2019-12-03,0.012,0
2019-12-10 11:15:00,NA,2019,2019-12-10,NA,NA
2019-12-31 11:40:00,0,2019,2019-12-31,0,0
2020-01-06 13:00:00,0.018,2020,2020-01-06,0.018,0
2020-01-27 11:20:00,NA,2020,2020-01-27,NA,NA
2020-03-31 17:30:00,NA,2020,2020-03-31,NA,NA
2020-04-08 15:00:00,NA,2020,2020-04-08,NA,NA
2020-04-20 10:30:00,0.11,2020,2020-04-20,0.11,0
2020-04-29 10:40:00,0.116,2020,2020-04-29,0.116,0
2020-05-04 13:00:00,0.079,2020,2020-05-04,0.079,0
2020-05-11 10:00:00,0.03,2020,2020-05-11,0.03,0
2020-05-18 12:55:00,0.037,2020,2020-05-18,0.037,0
2020-05-27 13:40:00,0.104,2020,2020-05-27,0.104,0
2020-06-01 10:30:00,0.02,2020,2020-06-01,0.02,0
2020-06-12 09:55:00,0.154,2020,2020-06-12,0.154,0
2020-06-15 10:20:00,0.048,2020,2020-06-15,0.048,0
2020-07-20 10:20:00,NA,2020,2020-07-20,NA,NA
2020-07-27 10:25:00,0.092,2020,2020-07-27,0.092,0
2020-08-10 10:30:00,NA,2020,2020-08-10,NA,NA
2020-08-21 09:35:00,0.062,2020,2020-08-21,0.062,0
2020-08-24 10:05:00,0.051,2020,2020-08-24,0.051,0
2020-09-01 13:35:00,0.172,2020,2020-09-01,0.172,0
2020-09-09 10:10:00,0.039,2020,2020-09-09,0.039,0
2020-09-29 11:30:00,NA,2020,2020-09-29,NA,NA
2020-10-05 11:00:00,0.052,2020,2020-10-05,0.052,0
2020-10-13 10:45:00,0.161,2020,2020-10-13,0.161,0
2020-10-21 11:20:00,0.077,2020,2020-10-21,0.077,0
2020-10-26 11:15:00,0.065,2020,2020-10-26,0.065,0
2020-11-02 11:25:00,0.062,2020,2020-11-02,0.062,0
2020-11-12 12:55:00,0.124,2020,2020-11-12,0.124,0
2020-11-16 11:55:00,0.072,2020,2020-11-16,0.072,0
2020-11-23 14:40:00,0.034,2020,2020-11-23,0.034,0
2021-03-24 10:25:00,0.067,2021,2021-03-24,0.067,0
2021-04-01 12:30:00,0.125,2021,2021-04-01,0.125,0
2021-04-06 10:35:00,0.1,2021,2021-04-06,0.1,0
2021-04-12 12:55:00,0.343,2021,2021-04-12,0.343,0
2021-04-21 10:35:00,NA,2021,2021-04-21,NA,NA
2021-04-28 10:45:00,0.093,2021,2021-04-28,0.093,0
2021-05-05 09:50:00,0.065,2021,2021-05-05,0.065,0
2021-05-12 09:50:00,0.032,2021,2021-05-12,0.032,0
2021-05-17 11:40:00,0.033,2021,2021-05-17,0.033,0
2021-05-24 11:05:00,0.043,2021,2021-05-24,0.043,0
2021-11-16 13:45:00,NA,2021,2021-11-16,NA,NA
