"datetime","precip_in","year","date","precip_10_in"
2017-04-02 12:00:00,0,2017,"2017-04-02",0
2017-04-03 00:00:00,0,2017,"2017-04-03",0
2017-04-03 12:00:00,0,2017,"2017-04-03",0
2017-04-04 00:00:00,0,2017,"2017-04-04",0
2017-04-04 12:00:00,0,2017,"2017-04-04",0
2017-04-05 00:00:00,0,2017,"2017-04-05",0
2017-04-05 12:00:00,0,2017,"2017-04-05",0
2017-04-06 00:00:00,0,2017,"2017-04-06",0
2017-04-06 12:00:00,0,2017,"2017-04-06",0
2017-04-07 00:00:00,0,2017,"2017-04-07",0
2017-04-07 12:00:00,0,2017,"2017-04-07",0
2017-04-08 00:00:00,0,2017,"2017-04-08",0
2017-04-08 12:00:00,0,2017,"2017-04-08",0
2017-04-09 00:00:00,0,2017,"2017-04-09",0
2017-04-09 12:00:00,0,2017,"2017-04-09",0
2017-04-10 00:00:00,0,2017,"2017-04-10",0
2017-04-10 12:00:00,0,2017,"2017-04-10",0
2017-04-11 00:00:00,0,2017,"2017-04-11",0
2017-04-11 12:00:00,0,2017,"2017-04-11",0
2017-04-12 00:00:00,0,2017,"2017-04-12",0
2017-04-12 12:00:00,0,2017,"2017-04-12",0
2017-04-13 00:00:00,0,2017,"2017-04-13",0
2017-04-13 12:00:00,0,2017,"2017-04-13",0
2017-04-14 00:00:00,0,2017,"2017-04-14",0
2017-04-14 12:00:00,0,2017,"2017-04-14",0
2017-04-15 00:00:00,0,2017,"2017-04-15",0
2017-04-15 12:00:00,0,2017,"2017-04-15",0
2017-04-16 00:00:00,0,2017,"2017-04-16",0
2017-04-16 12:00:00,0.11,2017,"2017-04-16",0.011
2017-04-17 00:00:00,0.03,2017,"2017-04-17",0.003
2017-04-17 12:00:00,0,2017,"2017-04-17",0
2017-04-18 00:00:00,3.18,2017,"2017-04-18",0.318
2017-04-18 12:00:00,0.03,2017,"2017-04-18",0.003
2017-04-19 00:00:00,0,2017,"2017-04-19",0
2017-04-19 12:00:00,0,2017,"2017-04-19",0
2017-04-20 00:00:00,1.25,2017,"2017-04-20",0.125
2017-04-20 12:00:00,0.18,2017,"2017-04-20",0.018
2017-04-21 00:00:00,0,2017,"2017-04-21",0
2017-04-21 12:00:00,0,2017,"2017-04-21",0
2017-04-22 00:00:00,0,2017,"2017-04-22",0
2017-04-22 12:00:00,0.24,2017,"2017-04-22",0.024
2017-04-23 00:00:00,0.22,2017,"2017-04-23",0.022
2017-04-23 12:00:00,0.3,2017,"2017-04-23",0.03
